valid_time,station,fc_windspd__gfs,fc_gust__gfs,fc_windspd__harmeu,fc_gust__harmeu,fc_windspd__icon,fc_gust__icon,fc_windspd__iconeu,fc_gust__iconeu,fc_windspd__wrfeuh,fc_gust__wrfeuh,fc_winddir_sin__gfs,fc_winddir_cos__gfs,fc_winddir_sin__harmeu,fc_winddir_cos__harmeu,fc_winddir_sin__icon,fc_winddir_cos__icon,fc_winddir_sin__iconeu,fc_winddir_cos__iconeu,fc_winddir_sin__wrfeuh,fc_winddir_cos__wrfeuh,y_speed,y_gust,y_dir_sin,y_dir_cos
2024-11-21 00:00:00,station3529_schausende,6.2,7.5,4.4,8.4,3.9,7.5,3.8,7.4,4.8,4.1,-0.9945218953682734,0.10452846326765299,-0.8386705679454242,-0.544639035015027,-0.9986295347545738,-0.052335956242944306,-0.9961946980917455,-0.08715574274765825,-1.0,-1.8369701987210297e-16,3.54,6.45,-0.7484929422493757,-0.6631427564279601
2024-11-21 03:00:00,station3529_schausende,,,5.9,11.1,,,3.6,6.6,,,,,0.0871557427476582,-0.9961946980917455,,,-0.3090169943749473,-0.9510565162951536,,,6.06,10.79,-0.7832596234234372,-0.6216947501101929
2024-11-21 06:00:00,station3529_schausende,7.7,12.3,4.6,10.6,5.6,12.8,5.8,13.1,7.5,15.5,-0.275637355816999,-0.9612616959383189,-0.2588190451025208,-0.9659258262890683,-0.5150380749100542,-0.8571673007021123,-0.5591929034707467,-0.8290375725550418,-0.19080899537654472,-0.981627183447664,7.02,17.28,-0.2658926340835146,-0.9640026489279634
2024-11-21 09:00:00,station3529_schausende,,,10.2,19.1,,,5.5,10.0,,,,,-0.2079116908177595,-0.9781476007338056,,,-0.5446390350150271,-0.838670567945424,,,3.48,8.44,-0.20432520413926178,-0.9789030651466206
2024-11-21 12:00:00,station3529_schausende,7.8,13.3,7.7,15.8,2.5,9.4,2.7,9.6,7.8,11.5,0.24192189559966773,-0.9702957262759965,0.7193398003386511,-0.6946583704589974,-0.8571673007021121,-0.5150380749100544,-0.7986355100472928,-0.6018150231520483,-0.19080899537654472,-0.981627183447664,3.82,9.02,-0.46623224473201974,-0.8846623615663447
2024-11-21 15:00:00,station3529_schausende,,,9.2,15.6,,,5.8,10.3,,,,,0.27563735581699916,0.9612616959383189,,,0.788010753606722,0.6156614753256583,,,2.35,5.56,0.3744447636008137,0.9272492216291857
2024-11-21 18:00:00,station3529_schausende,10.0,18.3,8.9,20.1,7.7,13.7,8.0,14.3,9.3,18.9,0.9396926207859083,0.3420201433256688,0.49999999999999994,0.8660254037844387,0.7193398003386511,0.6946583704589973,0.6946583704589973,0.7193398003386512,0.7313537016191705,0.6819983600624985,2.74,7.88,0.7852088666422864,0.6192310035409534
2024-11-21 21:00:00,station3529_schausende,,,4.5,7.3,,,2.9,7.9,,,,,-0.4848096202463369,0.8746197071393959,,,0.052335956242943835,0.9986295347545738,,,0.6,2.8,0.7461735819730096,0.6657514442835015
2024-11-22 00:00:00,station3529_schausende,4.3,4.0,4.2,7.2,3.2,6.1,3.0,6.0,4.7,4.2,-0.9702957262759966,0.24192189559966745,-0.9961946980917455,0.08715574274765789,-0.9563047559630354,0.2923717047227367,-0.9781476007338056,0.20791169081775945,-0.4226182617406992,0.90630778703665,2.4,5.47,-0.9745660005754307,-0.22410067050861224
2024-11-22 03:00:00,station3529_schausende,,,4.6,6.9,,,2.8,4.9,,,,,-0.4539904997395467,-0.8910065241883679,,,-0.587785252292473,-0.8090169943749475,,,1.5,3.9,-0.024257696956077147,-0.9997057387743591
2024-11-22 06:00:00,station3529_schausende,6.8,10.2,6.5,14.6,4.9,8.7,5.1,8.8,7.2,7.6,-0.12186934340514731,-0.9925461516413221,-0.06975647374412527,-0.9975640502598242,0.12186934340514755,-0.992546151641322,0.10452846326765373,-0.9945218953682733,0.12186934340514755,-0.992546151641322,0.03,0.65,0.6098685654765954,-0.7925025759223244
2024-11-22 09:00:00,station3529_schausende,,,9.3,17.1,,,8.9,15.5,,,,,-0.0348994967025009,-0.9993908270190958,,,0.10452846326765373,-0.9945218953682733,,,8.99,19.37,-0.5872203086883996,-0.8094271487069733
